"Amendment #",Patron,Department,Agency,Description,"GF Dollars FY2025","GF Dollars FY2026","NGF Dollars FY2025","NGF Dollars FY2026"," GF Positions FY2025"," GF Positions FY2026"," NGF Positions FY2025"," NGF Positions FY2026","Language",Explanation,
1 #8h,"Convirs-Fowler","Legislative Department","General Assembly of Virginia","HJ 437: Joint Subcommittee on Coastal Flooding","$20,000","$20,000",,,,,,,"","<p>(This amendment provides $20,000 each year from the general fund to support costs associated with House Joint Resolution 437, which reestablishes the Joint Subcommittee on Recurrent Flooding to continue its work through the 2026 interim. This is a placeholder amendment until the final fiscal impacts are known.)</p>",
390 #16h,"Convirs-Fowler","Public Safety and Homeland Security","Department of Corrections","HB 1686 - Prohibited Use of Campaign Funds","","$50,000",,,,,,,"Page 503, after line 8, insert:'14. House Bill 1686 -- $50,000'. ","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 for deposit in the Corrections Special Reserve Fund to reflect the indeterminate bedspace utilization impact of House Bill 1686.)</p>",
49 #3h,"Cordoza","Executive Offices","Attorney General and Department of Law","HB 2589: Anti-Human Trafficking Informational Support","$50,000","",,,,,,,"","<p>(This amendment provides $50,000 the first year from the general fund to the Office of the Attorney General to support costs associated with House Bill 2589, which allows nonprofit organizations to supply to the Virginia Alcoholic Beverage Control Authority and the Department of Transportation copies of informational materials about human trafficking at no cost.)</p>",
70 #2h,"Cordoza","Administration","Department of General Services","HB 2588: VPPA: Military Spouse-Owned Businesses","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support costs associated with House Bill 2588, which relates to public bodies' discrimination against, and facilitation of, military spouse-owned businesses in procurement transactions. This is a placeholder amendment until the final cost is known.)</p>",
77 #9h,"Cordoza","Administration","Department of Elections","HB 2586: Voter Registration ","","$500,000",,,,,,,"Page 84, after line 28, insert: 'J. Out of this appropriation, $500,000 the second year from the general fund is provided to effectuate the provisions of House Bill 2586 of the 2025 General Assembly Session.' ","<p>(This amendment provides $500,000 to support any voter registration system updates required by the Department of Elections as a result of House Bill 2586 of the 2025 General Assembly Session, which allows for automatic voter registration among applicants for a hunting, fishing, or firearm license. This is a placeholder amendment until a final fiscal impact statement is produced.)</p>",
91 #1h,"Cordoza","Agriculture and Forestry","Department of Agriculture and Consumer Services","HB 2497 - Regulation of Electric Vehicle Battery Suppliers","","$300,000",,,,,,,"","<p>(This amendment provides $300,000 from the general fund in fiscal year 2026 pursuant to House Bill 2497, which would require the certification of electric vehicle battery suppliers that no batteries sold are manufactured in or sourced from African cobalt mines. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
121 #2h,"Cordoza","Education: Elementary and Secondary","Department of Education, Central Office Operations","HB 2584 - School Board Attorneys","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2584, which clarifies both elected and school boards may employ counsel. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
123 #1h,"Cordoza","Education: Elementary and Secondary","Department of Education, Central Office Operations","HB 2583 - Bathroom Safety Checks","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 pursuant to House Bill 2583, which requires model policies for bathroom safety checks to be developed and distributed to school divisions. This amendment is a placeholder until a fiscal impact statement for the legislation is produced.)</p>",
360 #18h,"Cordoza","Natural and Historic Resources","Department of Conservation and Recreation","Fort Wool Nesting Habitat","","$6,600,000",,,,,,,"Page 474, after line 22, insert:'P. Out of the appropriation in this item, $6,600,000 the second year from the general fund is provided to the City of Hampton for the restoration of a bird nesting habitat at Fort Wool.' ","<p>(This amendment provides $6.6 million from the general fund in fiscal year 2026 to restore a bird nesting habitat at Fort Wool in Hampton.)</p>",
368 #1h,"Cordoza","Natural and Historic Resources","Department of Wildlife Resources","Safety Monitoring Fox Hill Boat Ramp","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 to support the placement of a safety monitoring device at the Fox Hill Boat Ramp in the City of Hampton.)</p>",
484 #4h,"Cordoza","Independent Agencies","Virginia Retirement System","HB 2579 - Expand Eligibility Enhanced Retirement Benefits ",,,"","$250,000",,,,,"","<p>(This amendment provides the VRS $250,000 from the nongeneral fund pursuant to the passage of House Bill 2579 which allows governments to provide enhanced retirement benefits for hazardous duty service to (i) full-time salaried 911 dispatchers, (ii) full-time animal control officers, and (iii) sworn municipal park rangers qualifying as conservators of the peace at their option.)</p>",
33 #1h,"Cousins","Judicial Department","Circuit Courts","HB 2223:  Indigent Defense Assessments","","$12,200,000",,,,,,,"Page 36, line 40, strike '$145,526,138' and insert, '$157,726,138.' ","<p>(This amendment provides $12.2 million the second year from the general fund for costs associated with House Bill 2223. The appropriation provided herein backfills the Criminal Fund for additional costs anticipated to provide legal representation at no cost to persons found indigent.)</p>",
86 #3h,"Cousins","Agriculture and Forestry","Department of Agriculture and Consumer Services","Virginia Fresh Match","","$1,000,000",,,,,,,"Page 96, after line 24, insert:'M. Out of the amounts in this item, $1,000,000 the second year from the general fund to support the Virginia Fresh Match program.' ","<p>(This amendment provides $1 million from the general fund in fiscal year 2026 to support the Virginia Fresh Match nutrition incentive program to support the offering of affordable fruits and vegetables from Virginia farms to strengthen nutrition security for low income, low access residents.)</p>",
124 #33h,"Cousins","Education: Elementary and Secondary","Direct Aid to Public Education","Elegba Folklore Society","","$250,000",,,,,,,"Page 154, after line 7, insert:'Elegba Folklore Society $0 $250,000'.Page 165, after line 26, insert:'GGG. Out of this appropriation, $250,000 the second year from the general fund is provided to support Elegba Folklore Society's cultural education through the arts programs.' ","<p>(This amendment is self-explanatory.)</p>",
124 #39h,"Cousins","Education: Elementary and Secondary","Direct Aid to Public Education","Children's Museum of Richmond","","$1,500,000",,,,,,,"Page 154, after line 7, insert:'Children's Museum of Richmond $0 $1,500,000'.Page 165, after line 26, insert:'GGG. Out of this appropriation, $1,500,000 the second year from the general fund is provided to support renovations at the Children's Museum of Richmond.' ","<p>(This amendment is self-explanatory.)</p>",
125 #7h,"Cousins","Education: Elementary and Secondary","Direct Aid to Public Education","School Construction Assistance Program","$290,000,000","",,,,,,,"Page 167, line 6, strike '$350,000,000' and insert '$640,000,000'.Page 199,  line 10, after 'Fund and', insert: '$290,000,000 the first year from the general fund and'. ","<p>(This amendment increases support for the School Construction Assistance Program by $290.0 million from the general fund in the first year, in addition to the $290.0 million increase included in the introduced budget. This would increase support for the program to $740.0 million over the biennium.)</p>",
132 #9h,"Cousins","Education: Higher Education","State Council of Higher Education for Virginia","SCHEV - Hunger-Free Campus Food Pantry Grant Program","","$500,000",,,,,,,"","<p>(This amendment requests funding to establish the Hunger-Free Campus Food Pantry Grant Program to address student food insecurity at public institutions of higher education and eligible private institutions of higher education under House Bill 2240.)</p>",
231 #3h,"Cousins","Education: Other Education","Virginia Commission for the Arts","VCA - Increase Financial Assistance to Cultural Organizations","","$500,000",,,,,,,"","<p>(This amendment provides $500,000 the second year from the general fund to increase the funds available to support the Commonwealth's cultural arts organizations through grants administered by the Virginia Commission for the Arts. This amendment would move Virginia closer to its stated goal of $1 per capita funding.)</p>",
262 #2h,"Cousins","Finance","Department of the Treasury","HB 2233:  Extreme Weather Relief Act",,,,,,,,,"Page 319, after line 35, insert:'I. There is hereby authorized a short-term, interest-free, state-supported treasury loan in an amount up $500,000 to support the implementation costs of House Bill 2233 of the 2025 General Assembly.  As needed, the Department shall transfer funds from the treasury loan to the Department of Conservation and Recreation to support such implementation costs. Revenue to repay treasury loan expenses shall come from cost recoveries as set-out by the legislation.' ","<p>This language amendment authorizes a treasury loan to support the implementation costs of House Bill 2233, which establishes the Extreme Weather Relief Act.)</p>",
279 #1h,"Cousins","Health and Human Resources","Department of Health","Community Grants for Maternal Mental Health Care Programs",,,,,,,,,"Page 350, line 52, strike the second '$4,680,571' and insert '$5,180,5711'.Page 351, after line 38, insert:'6. Of this appropriation, from the amounts in paragraph L.1., $500,000 the second year from the general fund shall be used to contract with the Virginia Health Care Foundation (VHCF). The contract with VHCF shall require that the general fund be provided to the foundation for community grants to (i) expand access to maternal mental health services with given to community organizations serving individuals residing in health care deserts or low income communities, and (ii) to community organizations with less than $5,000,000 in annual revenue.'   ","<p>(This amendment adds $500,000 in fiscal year 2026 for a contract with the Virginia Health Care Foundation to administer a grant program for community organizations providing maternal mental health services with priority given to serving individuals residing in health care deserts or low income communities, and those organizations with less than $5.0 million in annual revenue.)</p>",
328 #6h,"Cousins","Health and Human Resources","Department of Social Services","Auxiliary Grant Rate Increase","","$14,500,000",,,,,,,"Page 441, after line 40, insert:'2. Effective July 1, 2025, the Department of Social Services, in collaboration with the Department for Aging and Rehabilitative Services, is authorized to base approved licensed assisted living facility rates for individual facilities on an occupancy rate for 85 percent of licensed capacity, not to exceed a maximum rate of $2,500 per month, which rate is also applied to approved foster care homes. The Department of Planning and Budget is authorized to transfer up to a sum sufficient from the general fund in this item, if such funding is not required to fund the Auxiliary Grant rate increase, to cover any increase in Medicaid costs that results from the rate change.'Page 441, line 41, strike '2' and insert '3'.Page 441, line 44, strike '3' and insert '4'. ","<p>(This amendment adds $14.5 million the second year from the general fund to increase the Auxiliary Grant Rate for assisted living facilities to $2,500 per month. The state provides 80 percent of funding for this program while the localities provide 20 percent.)</p>",
360 #10h,"Cousins","Natural and Historic Resources","Department of Conservation and Recreation","Get Outdoors Fund","","$2,500,000",,,,,,,"Page 472, line 48, strike 'B.' and insert 'B.1.'Page 472, line 49, strike '$1,752,750' and insert '$4,252,750'.Page 472, after line 51, insert:'2. Out of the amounts appropriated for Preservation of Open Space, $2,500,000 the second year from the general fund is provided to the Virginia Outdoors Foundation for deposit to the Get Outdoors Fund.' ","<p>(This amendment provides $2.5 million from the general fund in fiscal year 2026 to support the Virginia Outdoors Foundation's Get Outdoors Fund.)</p>",
365 #14h,"Cousins","Natural and Historic Resources","Department of Environmental Quality","City of Richmond January 2025 Water Crisis Response","","$652,113",,,,,,,"Page 481, after line 5, insert:'P. Out of the amounts in this item, $652,113 the second year from the general fund is provided to the City of Richmond to defray costs of commodities, equipment, software, and supplies used by the City in its response to the January 2025 water crisis.' ","<p>(This amendment provides $652,000 from the general fund in fiscal year 2026 to defray costs faced by the City of Richmond in its response to the January 2025 water crisis.)</p>",
426 #3h,"Cousins","Transportation","Department of Motor Vehicles","HB 2221 - Require DOC & DMV  Identification Card Before Release ","","$500,000",,,"","6.00","","","","<p>(This amendment provides the DMV with $500,000 general fund and 6 FTEs to effectuate the provisions of House Bill 2221 which requires the Department of Corrections, in conjunction with the Department of Motor Vehicles, the State Registrar of Vital Records, and any other relevant government agency to provide to a prisoner who has been confined for at least 90 days and does not possess a government-issued identification card, birth certificate, and social security card with a certified copy of such prisoner's birth certificate, his social security card, and a government-issued identification card, prior to such prisoner's release or discharge.)</p>",
1 #2h,"Coyner","Legislative Department","General Assembly of Virginia","HB 2285:  Autism Advisory Council Data Dashboard","","$25,000",,,,,,,"Page 14, after line 49, insert:'W. Out of this appropriation, $25,000 the second year from the general fund is provided to support the costs of the Autism Advisory Council in complying with House Bill 2285 of the 2025 General Assembly.' ","<p>(This amendment provides $25,000 the second year from the general fund to support the costs to implement the provisions of House Bill 2285, which directs the legislative Autism Advisory Council to study and advise the General Assembly on the establishment of an autism data dashboard for the purpose of promoting greater public transparency and access to information and resources on autism spectrum disorders. This amendment is a placeholder until the fiscal impact statement for the bill is available.)</p>",
102 #9h,"Coyner","Commerce and Trade","Department of Housing and Community Development","5000 Families Rental Subsidy Pilot Program ","","$80,000,000",,,,,,,"Page 111, after line 47, insert: R. Out of this appropriation, $80,000,000 the second year from the general fund is provided to establish and implement a rental assistance pilot program, in accordance with the provisions of House Bill 1879 of the 2025 General Assembly. Out of the amounts in this paragraph, the department may use a portion for program administrative costs. Any funds remaining at the end of the fiscal year shall be carried forwards into the next fiscal year.'  ","<p>(This amendment provides $80.0 million to capitalize a program to provide rental assistance to low income households.)</p>",
117 #1h,"Coyner","Education: Elementary and Secondary","Department of Education, Central Office Operations","HB 2291 - High Quality Instructional Materials","","$200,000",,,"","1.00","","","","<p>(This amendment provides $200,000 in the second year from the general fund and one position to support implementation of House Bill 2291, which addresses the use of high quality instructional materials in public schools.)</p>",
117 #2h,"Coyner","Education: Elementary and Secondary","Department of Education, Central Office Operations","Statewide Literacy Screener",,,,,,,,,"Page 143, line 22, strike '$9,978,283' and insert '$11,478,283'.Page 143, line 22, strike '$6,578,283' and insert '$8,078,283'. ","<p>(This amendment directs $1.5 million the first year from the agency's existing fiscal year 2025 to appropriation to the Virginia Literacy Partnership, for a total of $8.1 million in fiscal year 2025 to support developing the statewide literacy screener for students in grades 4 to 8.)</p>",
118 #2h,"Coyner","Education: Elementary and Secondary","Department of Education, Central Office Operations","Virginia IEP System Enhancements","","$7,686,000",,,"","1.00","","","","<p>(This amendment provides $7.7 million the second year from the general fund and one position to support system enhancements to the Virginia Individualized Education Plan (IEP) System. These enhancements include modules for family engagement, language translation, 504 plans, student progress tracking, and billing for Medicaid-eligible services.)</p>",
124 #12h,"Coyner","Education: Elementary and Secondary","Direct Aid to Public Education","Virginia Tribal Education Consortium","","$771,250",,,,,,,"Page 154, after line 7, insert:'Virginia Tribal Education Consortium $0 $771,250'.Page 165, after line 26, insert:'GGG. Out of this appropriation, $771,250 the second year from the general fund is provided to support the Virginia Tribal Education Consortium to address academic achievement and career and technical education needs of Tribal citizens and to provide Virginia Indian history content for educators.' ","<p>(This amendment is self-explanatory.)</p>",
125 #5h,"Coyner","Education: Elementary and Secondary","Direct Aid to Public Education","Flexible Special Education Improvement Incentive","","$73,900,000",,,,,,,"Page 166, after line 23, insert:'Flexible Special Education Improvement Incentive $0 $73,900,000'.Page 180, after line 17, insert:'c. In addition to the funds provided to support the state share of Special Education instructors in paragraphs a and b, flexible special education improvement add-on payments shall be provided to support each special education student.  These payments shall be distributed based on a 6.0 percent add-on to basic aid for students served at service Level I and a 12.0 percent add-on to basic aid for students served at service level II.' ","<p>(This amendment provides $73.9 million the second year to establish a supplemental payment to provide support in addition to existing funding for special education positions, calculated based on the state's share of a 6.0 percent add on to basic aid for students receiving Level I services and a 12.0 percent add on to basic aid for students receiving Level II services.)</p>",
125 #6h,"Coyner","Education: Elementary and Secondary","Direct Aid to Public Education","HB 2286 - Paid Parental and Family Leave Program for School Division Employees","","$50,000,000",,,,,,,"Page 167, after line 10, insert:'Paid Parental and Family Leave Program $0 $50,000,000'. ","<p>(This amendment provides $50,000,000 the second year from the general fund to implement House Bill 2286, which would provide state funds to support paid parental and family leave for school divisions opting to provide this benefit to their eligible employees.) </p>",
231 #1h,"Coyner","Education: Other Education","Virginia Commission for the Arts","VCA - Increase Financial Assistance to Cultural Organizations","","$500,000",,,,,,,"","<p>(This amendment provides $500,000 the second year from the general fund to increase the funds available to support the Commonwealth's cultural arts organizations through grants administered by the Virginia Commission for the Arts. This amendment would move Virginia closer to its stated goal of $1 per capita funding.)</p>",
268 #2h,"Coyner","Health and Human Resources","Children's Services Act"," Eliminate State Cap on Reimbursement for CSA Private Day Educational Services",,,,,,,,,"Page 333, strike lines 47 through 50. ","<p>(This amendment eliminates language proposed in the introduced budget which caps increases in the state reimbursement to localities for Children's Services Act (CSA) Special Education private day educational services at 2.5 percent in fiscal year 2026 and beyond. Removing the section will allow reimbursement to localities for the real cost of private day educational services on an unrestricted basis compared to previous year spending. This will ensure adequate funding for a sum-sufficient program based on real costs, the value of services depending on the advanced needs of children receiving those services, and rising costs of qualified and quality personnel and supplies.)</p>",
269 #1h,"Coyner","Health and Human Resources","Children's Services Act","Office of Comprehensive Services Reporting Requirements",,,,,,,,,"Page 334, line 8, after 'B.' insert:'1 The Office of Comprehensive Services, in coordination with the Virginia Department of Education's Office of Special Education, shall report to the General Assembly by October 1 of each year, (i) recommendations made to each LEA and progress made in improving the LEA's ability to serve students, (ii) an assessment of barriers to students returning to a LEA from a private day placement including instances when the LEA refuses or is unable to provide a less restrictive environment due to a lack of available transition services and recommendations for returning students to public school who are deemed eligible, and (iii) trends in behavioral and emotional diagnoses including students on home-based instruction that may require private day placements.” ","<p>(This amendment adds reporting requirements for the Office of Comprehensive Services, in coordination with the Department of Education, regarding the transition of students from private day education services to local education agencies.)</p>",
279 #12h,"Coyner","Health and Human Resources","Department of Health","Little Hands Virginia Child Safety Fund","","$150,000",,,,,,,"Page 353, after line 33, insert:'DD.  Out of this appropriation, $150,000 from the general fund the second year shall be provided to Little Hands Virginia to expand their Child Safety Fund.' ","<p>(This amendment provides $150,000 from the general fund in fiscal year 2026 to Little Hands Virginia, a 501(c)(3) nonprofit organization, to expand their Child Safety Fund, which provides low-income families in Central Virginia with supplies critical to keeping children safe, including pack-n-plays, car seats, strollers, high chairs. and diapers. among others.)</p>",
287 #1h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Reach Out and Read Initiative","","$252,000","","$468,000",,,,,"Page 359, after line 40, insert:'J. Out of this appropriation, $252,000 from the general fund and $468,000 from nongeneral funds the second year shall be provided to contract with Reach Out and Read to implement a pilot program of their evidence-based model that promotes early literacy and parental bonding as part of routine pediatric primary care visits in select underserved localities.  Effective July 1, 2025, the Department of Medical Assistance Services shall have the authority to amend the Children's Health Insurance Program (CHIP)/Title XXI State Plan to establish a Health Services Initiative (HSI) to authorize and fund this project as allowed by Section 2105(a)(1)(D)(ii)) of the Social Security Act and 42 CFR 457.10. Funding of the project is contingent on approval of the CHIP State Plan Amendments and on the availability of CHIP federal funds.' ","<p>(This amendment provides $252,000 from the general fund and $468,000 from federal funds the second year to contract with Reach Out and Read to implement a pilot program in select underserved localities of their evidence-based model that promotes early literacy and parental bonding as part of routine pediatric primary care visits.)</p>",
288 #27h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Medicaid Works As An Eligibility Group Serviced by the DD Waiver","","$493,744","","$713,750",,,,,"Page 393, after line 55, insert:'OOOOO. The Department of Medical Assistance Services shall add Medicaid Works as an eligibility group served by the Developmental Disability Waiver programs to permit individuals with disability who also meet the DD Waiver eligibility criteria to work more without losing waiver eligibility.' ","<p>(This amendment adds $493,744 from the general fund and $713,750 from nongeneral funds and language to increase alignment between Medicaid Works and Developmental Disability (DD) Waivers, by adding Medicaid Works as eligibility group served by the DD Waiver. This would permit individuals with disabilities who also meet the DD Waiver eligibility criteria to work more without losing waiver eligibility. This was a recommendation from the 2024 Recommendations to Improve Access to and Successful Utilization of the Medicaid Works Program report.)</p>",
288 #28h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Increase the Initial Medicaid Works Income Limit","","$1,690,674","","$1,799,999",,,,,"Page 393, after line 55, insert:'OOOOO. The Department of Medical Assistance Services shall increase the initial income limit for Medicaid Works eligibility to 300 percent of the Supplemental Security Income (SSI) level to align with the Commonwealth Coordinated Care Plus (CCC Plus) and Developmental Disability (DD) Waiver programs income limits.' ","<p>(This amendment adds $1.7 million from the general fund and $1.8 million from nongeneral funds and language to increase the initial income limit for Medicaid Works eligibility to 300 percent of the Supplemental Security Income level to align it with the Medicaid CCC plus and DD Waiver programs, allowing more working individuals with disabilities to be eligible for the Medicaid Works program.. Funding assumes that 99 more individuals will become eligible for the program from this change. This was a recommendation from the 2024 Recommendations to Improve Access to and Successful Utilization of the Medicaid Works Program report.)</p>",
288 #29h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Increase Ongoing Eligibility Income Limit for Medicaid Works","","$1,690,674","","$1,799,999",,,,,"Page 393, after line 55, insert:'OOOOO. The Department of Medical Assistance Services shall increase the ongoing eligibility income limit for Medicaid Works unearned income to 300 percent of the Supplemental Security Income (SSI) level, removing a barrier to continued enrollment in the program for working individuals with disabilities.' ","<p>(This amendment adds funding and language for the Department of Medical Assistance Services to increase the ongoing eligibility income limit for Medicaid Works unearned income to 300 percent of the Supplemental Security Income (SSI) level, removing a barrier to continued enrollment in the program for working individuals with disabilities. This was a recommendation from the 2024 Recommendations to Improve Access to and Successful Utilization of the Medicaid Works Program report.)</p>",
288 #30h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Increase & Enhance Medicaid Works Information Provision","","$268,332","","$268,332",,,,,"Page 393, after line 55, insert:'OOOOO. The Department of Medical Assistance Services, in collaboration with Medicaid providers, members, local eligibility staff, and stakeholders, shall increase and enhance the information it provides about the Medicaid Works  program, through new outreach materials, education and training events, use of social media, and other methods.' ","<p>(This amendment adds funding and language for the Department of Medical Assistance Services (DMAS) to increase and enhance the information provided for members, eligibility staff, and providers about the Medicaid Works program, including: producing new Medicaid Works outreach materials, hosting community education and training events, promoting the program through appropriate state social media, ad campaigns using traditional media, speaking at events hosted by organizations serving disabled and blind populations, and providing additional training to benefit program staff and Medicaid providers. This change would not require federal approval, and was a recommendation from the 2024 Recommendations to Improve Access to and Successful Utilization of the Medicaid Works Program report (attached).</p>",
292 #2h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Medicaid Reentry Service Waiver for Incarcerated Pregnant and Postpartum Women","$125,000","$1,154,886","$125,000","$1,154,885",,,,,"Page 402, after line 29, insert:'MM. The Department of Medical Assistance Services, in conjunction with relevant stakeholders, shall convene a workgroup to develop and apply for a 1115 Demonstration Waiver to allow for the waiver of the “inmate exclusion” policy, which limits Medicaid coverage of incarcerated individuals to inpatient treatment only. This waiver shall apply to incarcerated pregnant and postpartum individuals up to 90-days prior to release for the administration of medically appropriate prenatal care and postpartum care and shall improve continuity of care and care management.' ","<p>(This amendment provides $125,000 from the general fund and $125,000 from nongeneral funds the first year and $1.2 million from the general fund and $1.2 million from nongeneral funds the second year for the Department of Medical Assistance Services to seek an eligible Medical waiver for incarcerated individuals who are pregnant or postpartum up to 90-days prior to release for the administration of medically appropriate prenatal care and postpartum care and shall improve continuity of care and care management.)</p>",
292 #3h,"Coyner","Health and Human Resources","Department of Medical Assistance Services","Medicaid 1115 Waiver for Housing Benefit  for Individuals with Serious Mental Illness","","$600,000","","$600,000",,,,,"Page 402, after line 29, insert:'MM. The Department of Medical Assistance Services,  develop and apply for an 1115 Medicaid demonstration waiver to provide Medicaid coverage for a housing benefit targeted at individuals with serious mental illness who need intensive, ongoing support to obtain and maintain stable housing. ' ","<p>(This amendment adds $600,000 from the general fund and $600,000 from nongeneral funds the second year for the Department of Medical Assistance Services to seek an 1115 Medicaid demonstration waiver for individuals. Funding will be used for a contractor to assist in developing the waiver application for submission to the federal Centers for Medicare and Medicaid for approval, determining the rates needed to implement the housing benefit. This is a recommendation of the Behavioral Health Commission.)</p>",
329 #3h,"Coyner","Health and Human Resources","Department of Social Services","Kinship Service Expansion","","$425,750",,,,,,,"Page 445, after line 40, insert:'W. Out of this appropriation, $425,750 the second year from the general fund is provided for the Department of Social Services to expand the existing program to find relative and fictive kin for youth in foster care.' ","<p>(This amendment provides $425,750 the second year from the general fund for the Department of Social Services to expand the existing program with current providers to find relative and fictive kin at the time of entry into foster care or when an out-of-home placement is needed before entry into foster care. The current program eligibility is for youth who are placed in congregate care or who have been in foster care for twelve months or more and are not placed with kinship foster parents. Additional funding will enable existing providers to hire additional staff for this program, expanding services to ensure that children entering fostering care are promptly assigned a kinship specialist to locate relatives and fictive kin. Additional staff will serve more children in more locations across the state.)</p>",
360 #7h,"Coyner","Natural and Historic Resources","Department of Conservation and Recreation","Hopewell Riverwalk Project","$1,500,000","$750,000",,,,,,,"Page 474, after line 22, insert:'P. Out of the appropriation in this item, $1,500,000 the first year and $750,000 the second year from the general fund is provided to the City of Hopewell to support its Riverwalk Project.' ","<p>(This amendment provides $1.5 million from the general fund in fiscal year 2025 and $750,000 from the general fund in fiscal year 2026 to support the City of Hopewell's Riverwalk Project.)</p>",
377 #1h,"Coyner","Public Safety and Homeland Security","Secretary of Public Safety and Homeland Security","HB 2366 - Combatting Illicit Cannabis Sales Workgroup","","$100,000",,,,,,,"","<p>(This amendment provides $100,000 from the general fund in fiscal year 2026 pursuant to House Bill 2366, which would establish a workgroup under the purview of the Secretary of Public Safety and Homeland Security to assess efforts to combat sales of illicit cannabis products. This amendment is a placeholder until a fiscal impact statement for the bill is produced.)</p>",
390 #1h,"Coyner","Public Safety and Homeland Security","Department of Corrections","HB 2288 - Unlawful Dissemination of Intimate Image of Another","","$50,000",,,,,,,"Page 503, after line 8, insert:'14. House Bill 2288 -- $50,000'. ","<p>(This amendment provides $50,000 from the general fund in fiscal year 2026 for deposit in the Corrections Special Reserve Fund to reflect the indeterminate bedspace utilization impact of House Bill 2288.)</p>",
394 #2h,"Coyner","Public Safety and Homeland Security","Department of Criminal Justice Services","Jail-Based Substance Use Disorder Treatment and Transition Fund",,,"","$10,000,000","","","","1.00","Page 513, line 12, after 'first year' insert 'and $10,000,000 the second year'.Page 513, line 14, after 'Fund.' insert:'The Department shall provide a report detailing the utilization and outcomes of the Fund by November 15, 2025 and annually thereafter to the Chairs of the House Committees on Appropriations and Public Safety, and the Chairs of the Senate Committees on Appropriations and Finance and Rehabilitation and Social Services.' ","<p>(This amendment provides $10 million from the nongeneral fund in fiscal year 2026 from the Commonwealth Opioid Abatement and Remediation Fund for deposit in the Jail-Based Substance Use Disorder Treatment and Transition Fund. The amendment also establishes an annual reporting requirement on the Fund utilization and outcomes.)</p>",
438 #5h,"Coyner","Transportation","Department of Transportation","Funding for the Appomattox River Trail","","$1,500,000",,,,,,,"Page 551, after line 40, insert:'O. Out of the amounts appropriated in this item, $1,500,000 the second year from the general fund shall be provided for a feasibility study and planning for the construction of a 7-mile segment of the Appomattox River Trail.' ","<p>(This amendment provides $1.5 million general fund in fiscal year 2026 to support the development of the multi-use Appomattox River Trail in the City of Hopewell and Prince George County.)</p>",
454 #2h,"Coyner","Veterans and Defense Affairs","Secretary of Veterans and Defense Affairs","Capital Region Military Alliance of Virginia","","$120,000",,,"","1.00","","","Page 568, after line 36, insert:'E. Out of the amounts in this item, $120,000 the second year from the general fund is provided for administrative support of the Capital Region Military Alliance of Virginia.' ","<p>(This amendment provides $120,000 from the general fund in fiscal year 2026 and one position to provide administrative capacity to support the Capital Region Military Alliance of Virginia (CaRMA-VA). CaRMA-VA has been establish to support three military installations in the capital region and surrounding communities in the areas of energy and water resilience, workforce, and expansion of military missions.)</p>",
49 #8h,"Davis","Executive Offices","Attorney General and Department of Law","HB 2312: Electronic Discovery","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support the provisions of House Bill 2312, regarding the provision of electronic discovery materials. This is a placeholder amendment until final cost impacts are known.)</p>",
49 #9h,"Davis","Executive Offices","Attorney General and Department of Law","HB 2314:  Provision of Discovery Materials","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support the provisions of House Bill 2314, regarding the provision of discovery materials. This is a placeholder amendment until final cost impacts are known.)</p>",
49 #10h,"Davis","Executive Offices","Attorney General and Department of Law","HB 2322: Appointment of Counsel","","$50,000",,,,,,,"","<p>(This amendment provides $50,000 the second year from the general fund to support the provisions of House Bill 2322, regarding the appointment of counsel in any case in which an indigent defendant is charged with any felony punishable by a mandatory minimum term of confinement for life. This is a placeholder amendment until final cost impacts are known.)</p>",
360 #14h,"Davis","Natural and Historic Resources","Department of Conservation and Recreation","Franklin County - Waid Park Connector Trail Bridge","","$250,000",,,,,,,"Page 474, after line 22, insert:'P. Out of the appropriation in this item, $250,000 the second year from the general fund is provided for the County of Franklin to construct a connector trail bridge at Waid Park.' ","<p>(This amendment provides $250,000 from the general fund in fiscal year 2026 to support the construction of a connector trail bridge at Waid Park in Franklin County.)</p>",
360 #15h,"Davis","Natural and Historic Resources","Department of Conservation and Recreation","Franklin County - Smith Farm Park","","$700,000",,,,,,,"Page 474, after line 22, insert:'P. Out of the appropriation in this item, $700,000 the second year from the general fund is provided to the County of Franklin to support development of Smith Farm Park.' ","<p>(This amendment provides $700,000 from the general fund in fiscal year 2026 to support development of Smith Farm Park in Franklin County.)</p>",
